,case_number,year,type,country,activity,age,species_,injury,mes,deceso,genero
1432,1943.09.23,1943,Unprovoked,panama,Dived overboard to check propeller of US Navy motor torpedo boat,20,"White shark, 2 m [6'9""]  (Tooth fragment recovered from victim's shoulder & identified by J.T. Nicholls)","FATAL, left leg  & shoulder bitten  ",Sep,Y,M
1433,1943.07.00.a,1943,Invalid,mexico,Swimming,68,Invalid,"No injury, a shark made a threat display",Jul,,M
1434,1942.12.26,1942,Unprovoked,australia,Dog paddling or standing,15,Bull shark,"FATAL, legs bitten ",Dec,Y,F
1435,1942.11.01,1942,Unprovoked,south africa,Swimming ,18,"White shark, 4.5 m  to 6 m [14'9"" to 20'] according to witnesses","FATAL, body not recovered",Nov,Y,M
1436,1942.09.12.a,1942,Unprovoked,australia,Treading water,24,"Tiger shark, 2.4 m to 3 m [8' to 10'] ","Right foot severed & calf removed, leg  surgically amputated below the knee",Sep,N,M
1437,1942.01.04,1942,Unprovoked,australia,Swimming,28,"Bull shark, 4 m [13'] ","FATAL, bitten in two  ",Jan,Y,F
1438,1942.00.00.f,1942,Unprovoked,bahamas,Swimming along side N.E.L. vessel Saluda,48,1.2 m to 1.5 m [4' to 5'] shark,"Minor injury, ankle scratched by shark's teeth",,N,M
1439,1941.06.15,1941,Provoked,usa,Fishing from 32' boat,43,2.1 m [7'] shark,Left hand bitten as he tried to put rope around shark's tail PROVOKED INCIDENT,Jun,N,M
1440,1941.03.09,1941,Provoked,usa,Fishing,53,Mako shark (aka bonito shark) 1.2 m [4'] ,Right hand bitten by boated shark PROVOKED INCIDENT,Mar,N,M
1441,1940.03.31,1940,Unprovoked,south africa,Treading water,25,"White shark, species identity confirmed by tooth pattern","FATAL, right thigh & calf bitten ",Mar,Y,M
1442,1940.02.22,1940,Unprovoked,south africa,Swimming,17,"White shark, 160-kg [353-lb], identity confirmed by tooth pattern","FATAL, left thigh & knee bitten ",Feb,Y,M
1443,1940.01.23,1940,Unprovoked,australia,Swimming,13,3 m [10'] shark,"FATAL, left leg severed  ",Jan,Y,M
1444,1940.01.07,1940,Unprovoked,south africa,Swimming ,18,2.4 m [8'] shark,"FATAL, leg & thigh bitten  ",Jan,Y,M
1445,1939.12.14,1939,Unprovoked,australia,Swimming ,20,2.6 m [8.5'] shark landed 2 hours later,"FATAL, left foot & right leg bitten, later surgically amputated  ",Dec,Y,M
1446,1939.07.16,1939,Provoked,bahamas,"Dress diving, filming shark & pulling it through the water for a motion picture scene",38,"Nurse shark, 2.1 m [7']",Minor injury to shoulder & back PROVOKED INCIDENT,Jul,N,M
1447,1938.10.05,1938,Provoked,australia,Fishing,18,"Tiger shark, 6'",Laceration to left foot & ankle by netted shark PROVOKED INCIDENT,Oct,N,M
1448,1938.05.15,1938,Unprovoked,iraq,"Swimming, naked",9 or 10,Bull shark,"Arm severed, but survived. Note: Some weeks later he was swimming at the same spot when a shark severed his right foot.",May,N,M
1449,1938.01.14,1938,Invalid,australia,Diving off jetty,24,Questionable incident,Superficial lacerations on feet & toes,Jan,,M
1450,1937.10.27.b,1937,Unprovoked,australia,Swimming ,25,Tiger shark,FATAL,Oct,Y,M
1451,1937.10.27.a,1937,Unprovoked,australia,Swimming ,18,"Tiger shark,  3.6 m [11'9""], 850-kg [1874-lb] female, contained Girvan's remains ",FATAL,Oct,Y,M
1452,1937.08.31,1937,Unprovoked,australia,"Diving from the lugger San, operated by the Protector of the Aborigines",38,"Tiger shark, 9' to 10' ","Head, neck & shoulder bitten (In 1918, he was also bitten by a shark off Cairns)",Aug,N,M
1453,1937.05.15,1937,Unprovoked,australia,"Refused permission to cross on the ferry, he was swimming across the river",33,2 days later a 600-lb shark was caught 100 yards from the site,"FATAL, left arm severed at elbow, right arm bitten, right leg severed at knee    ",May,Y,M
1454,1937.02.13,1937,Unprovoked,australia,Swimming,32,White shark,"FATAL, buttocks, ankle & right elbow bitten ",Feb,Y,M
1455,1936.07.25,1936,Unprovoked,usa,Swimming crawl stroke,16,White shark (identified by Dr. Hugh Smith) ,"FATAL, finger severed, thigh bitten He died during the surgical amputation of his leg   ",Jul,Y,M
1456,1936.04.22,1936,Unprovoked,australia,Diving for trochus,16,"Tiger shark, 4.6 m [15'] ","Arm & back bitten, heel lacerated",Apr,N,M
1457,1936.02.04,1936,Unprovoked,australia,Swimming,14,White shark,"FATAL, taken by shark, body not recovered. Twenty months later, in October 1937, meshing (setting anti-shark gill nets) began  at metropolitan beaches",Feb,Y,M
1458,1936.01.22,1936,Unprovoked,australia,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",13,White shark,FATAL ,Jan,Y,M
1459,1935.08.26,1935,Unprovoked,australia,"Fell overboard, hanging onto lifebuoy",38,3.7 m [12'] shark,"FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn",Aug,Y,M
1460,1935.03.09,1935,Unprovoked,australia,Swimming,27,"White shark, 4 m [13'] ","FATAL, left thigh, buttock, left forearm bitten, finger removed  ",Mar,Y,M
