,case_number,year,type,country,activity,injury,mes,deceso,genero,especies,edad
468,2007.08.19.b,2007,Unprovoked,usa,Surfing,Foot bitten,Aug,N,M,Unspecified,16
469,2007.08.15,2007,Unprovoked,usa,Floating near boat & observing bioluminesce,Puncture wounds to torso,Aug,N,M,Bull,20
470,2007.08.12,2007,Unprovoked,usa,Swimming,"Minor injury, small lacerations to right foot",Aug,N,F,Unspecified,15
471,2007.08.07,2007,Unprovoked,usa,Jumped into the water,Lacerations to arm,Aug,N,F,Bull,19
472,2007.07.19.b,2007,Unprovoked,usa,Snorkeling,Left calf severely bitten,Jul,N,M,Unspecified,36
473,2007.07.19.a,2007,Unprovoked,australia,Wading,Calf bitten,Jul,N,M,Unspecified,15
474,2007.07.18.b,2007,Unprovoked,usa,Swimming,Right calf bitten,Jul,N,M,Unspecified,14
475,2007.07.17.b,2007,Invalid,usa,Swimming,Foot injured. Shark involvment uncomfirmed,Jul,,F,Unspecified,43
476,2007.07.17.a,2007,Unprovoked,usa,Wading,Lacerations to right thigh & left foot,Jul,N,F,Unspecified,30
477,2007.07.10,2007,Unprovoked,bahamas,Spearfishing,"Lacerations to thumb, ring and pinky fingers of right hand ",Jul,N,F,Bull,48
478,2007.06.25,2007,Unprovoked,usa,Surfing,6 to 8 puncture wounds to right hand,Jun,N,M,Unspecified,20
479,2007.06.17,2007,Invalid,usa,Surfing,Superficial injuries to upper leg may have been caused by surfboard fin,Jun,,F,Unspecified,9
480,2007.05.24,2007,Provoked,usa,Reviving a sedated shark,Left shin bitten by captive shark PROVOKED INCIDENT,May,N,F,Unspecified,40
481,2007.05.17.R,2007,Provoked,england,Fishing,Bitten on the nose by a hooked shark PROVOKED INCIDENT,May,N,M,Unspecified,38
482,2007.05.16,2007,Unprovoked,australia,Wading,Left heel & calf bitten,May,N,F,Unspecified,38
483,2007.05.12,2007,Unprovoked,australia,Surfing,"No injury, shark's fin caught his leg",May,N,M,Unspecified,19
484,2007.05.10,2007,Unprovoked,usa,Surfing,Knee bitten,May,N,F,Unspecified,21
485,2007.05.08,2007,Invalid,australia,Swimming,Shark involvement prior to death unconfirmed,May,,M,Unspecified,45
486,2007.05.07.b,2007,Unprovoked,usa,Snorkeling,Right foot bitten,May,N,F,Tiger,63
487,2007.05.07.a,2007,Unprovoked,usa,Swimming,Circular bite on left thigh,May,N,M,Unspecified,68
488,2007.04.26,2007,Unprovoked,australia,Swimming / jumping off a jetty,Lower leg & foot injured,Apr,N,F,Unspecified,13
489,2007.04.22,2007,Unprovoked,usa,Body boarding,Left foot bitten,Apr,N,M,Unspecified,12
490,2007.04.20,2007,Unprovoked,usa,Surfing,Lacerations to left index finger & thumb ,Apr,N,M,Unspecified,24
491,2007.04.09,2007,Unprovoked,new caledonia,Surfing,Left foot bitten,Apr,N,M,Tiger,26
492,2007.03.31.b,2007,Unprovoked,usa,Surfing,Lacerations to right ankle ,Mar,N,M,Unspecified,27
493,2007.03.21,2007,Unprovoked,usa,Surfing,Punctures & lacerations to right calf & calf,Mar,N,M,Unspecified,11
494,2007.03.20,2007,Unprovoked,australia,Surfing,Lacerations to 3 fingers of left hand ,Mar,N,F,Unspecified,42
495,2007.03.12,2007,Unprovoked,australia,Swimming,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",Mar,N,F,Unspecified,59
496,2007.01.25.b,2007,Unprovoked,new caledonia,Spearfishing (free diving),Leg bitten,Jan,N,M,Tiger,30
497,2007.01.23,2007,Unprovoked,australia,Diving,Head & torso bitten,Jan,N,M,White,41
498,2007.01.14,2007,Unprovoked,south africa,Swimming / Body Surfing,"Presumed FATAL, body not recovered",Jan,Y,M,Tiger,24
499,2007.01.07,2007,Invalid,usa,Surfing,No injury,Jan,,M,Unspecified,54
500,2007.01.05,2007,Unprovoked,usa,Surfing,"No injury, shark removed piece of surfboard",Jan,N,M,Tiger,24
501,2006.12.18,2006,Unprovoked,australia,Surfing,Left leg bitten,Dec,N,M,Unspecified,25
502,2006.12.11,2006,Unprovoked,new zealand,Surfing,Foot bitten,Dec,N,M,Unspecified,10
503,2006.12.10,2006,Unprovoked,usa,Surfing,"Minor injuries, surfboard bitten",Dec,N,M,White,43
504,2006.12.06,2006,Provoked,south africa,Fishing,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",Dec,N,M,Unspecified,25
505,2006.12.02,2006,Unprovoked,australia,Body boarding,"Right leg severed, left leg lacerated",Dec,N,M,White,15
506,2006.11.11,2006,Unprovoked,usa,Swimming,Laceration to left thigh & left hand,Nov,N,M,Unspecified,29
507,2006.10.31,2006,Unprovoked,usa,Surfing,"No injury, surfboard bitten",Oct,N,M,White,22
508,2006.10.05,2006,Unprovoked,usa,Playing soccer in the water,Lacerations to foot,Oct,N,M,Unspecified,18
509,2006.09.14,2006,Unprovoked,usa,Swimming,Minor injury to left hand,Sep,N,M,Unspecified,55
510,2006.09.04,2006,Invalid,australia,Diving,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",Sep,,M,Unspecified,44
511,2006.09.03.a,2006,Unprovoked,usa,Standing,Puncture wounds and cuts to right thigh,Sep,N,M,Unspecified,33
512,2006.08.13,2006,Unprovoked,south africa,Lifesaving drill,Foot severed,Aug,N,M,White,24
513,2006.07.31.a,2006,Unprovoked,usa,Surfing,Minor injury,Jul,N,M,White,41
514,2006.07.28,2006,Unprovoked,south africa,Surf-skiing,"No injury, surf ski bitten",Jul,N,M,White,19
515,2006.07.25,2006,Unprovoked,usa,Surfing,Minor lacerations to right foot,Jul,N,M,Unspecified,14
516,2006.07.17,2006,Unprovoked,usa,Standing,Left ankle & foot bitten,Jul,N,M,Unspecified,49
